scale,energy_mean
2.0,0.18020019196281278
2.1624639114271615,0.22147856903150662
2.338125084112429,0.22887401522048884
2.528055557397862,0.21723384227188197
2.733414454477876,0.20363987886499924
2.955455056390884,0.19274106365072669
3.1955324506451066,0.18172416645543177
3.45511180115722,0.1678254326650972
3.7357772899742923,0.1517954975372359
4.039241785349286,0.13716037320589256
4.367357295173222,0.12617937600841878
4.722126269560117,0.117882379961179
5.10571382156296,0.11037933583525252
5.520460940602379,0.10283328084707277
5.968898779247944,0.09525457577992073
6.4537641005426565,0.08794361287155318
6.978015980143836,0.08110013590985828
7.544853865211537,0.07466179458758523
8.15773710025584,0.06856510456785718
8.820406039106855,0.06332309323593911
9.536904871851384,0.05910002848374979
10.311606306046246,0.05528585574310038
11.14923825283487,0.05153657789616663
12.054912680829315,0.047842483754135315
13.03415681384952,0.04411729376974093
14.092946862916016,0.04035380616935787
15.23774449835825,0.03701691401504793
16.47553628462375,0.03441624368190001
17.813876318453794,0.03196564628222126
19.26093233064163,0.02908617793637478
20.82553553272659,0.026286463995890505
22.517234512832644,0.02422187682174721
24.34635350957137,0.022848098433596364
26.324055419648044,0.021650545063903407
28.462409923698743,0.020023076255067673
30.77446714612241,0.018093786068175428
33.27433729844528,0.01642451161695057
35.977276792271326,0.015066491767621943
38.89978134735635,0.013965487558555227
42.059686663032764,0.013045493703468792
45.47627726737133,0.012008303296645205
49.17040420837294,0.010826004265427042
53.16461230544634,0.009726724823476696
57.483277737772056,0.008781453826651865
62.1527568092382,0.007955503480736778
67.2015467978432,0.007379082857512572
72.66045987120971,0.0071619751511135124
78.56281112959624,0.0071664338133833
84.94462192400998,0.006990811236979234
91.844839690248,0.006344439258007718
99.30557564048716,0.00551928556433718
107.37236176302682,0.005001395989782566
116.09442869862355,0.004854229037341562
125.52500618926355,0.004939386710683922
135.72164793297685,0.005089638058143671
146.74658282724258,0.005045969599654275
158.6670947445844,0.004697656810043227
171.55593315807894,0.004172610931015239
185.49175712277798,0.0036271014832541066
200.55961532260991,0.003137909777287735
216.85146511242888,0.0027304555575248914
234.4667337228667,0.002463196371573286
253.51292505295075,0.0024222655229120507
274.10627575367226,0.002461005376528679
296.372464606509,0.002256569935413122
320.44737952614963,0.0018275828436541959
346.4779468683507,0.0014997323757852613
374.62302810409324,0.001373372421453941
405.05438933233233,0.0012747901553438255
437.95774954816767,0.0010741942695725953
473.5339140638838,0.0008367728365282782
512.0,0.0006998348771654628
